Features	Z-stat	p-val
3053	0.3118131868131868	0.5765696670531635
306	3.20704845814978	0.07332163858419319
30am	2.0927833180035824	0.14799622465262113
30da	0.3118131868131868	0.5765696670531635
30day	0.3118131868131868	0.5765696670531635
30days	0.3118131868131868	0.5765696670531635
30k	0.6236263736263736	0.429702886455403
30pm	0.011309053159273443	0.9153093970890179
30tabs	0.3118131868131868	0.5765696670531635
30th	0.6236263736263736	0.429702886455403
30yo	0.3118131868131868	0.5765696670531635
31	7.767246194008309	0.005320209596671935
311	0.6236263736263736	0.429702886455403
317	3.20704845814978	0.07332163858419319
3175	0.3118131868131868	0.5765696670531635
31min	0.3118131868131868	0.5765696670531635
31yo	3.0466690064707693	0.08090291644637876
32	1.2467271164958382	0.26417850215599936
324	0.3118131868131868	0.5765696670531635
3250	0.3118131868131868	0.5765696670531635
32w	0.3118131868131868	0.5765696670531635
32yo	0.15143373513417566	0.6971689777482954
33	2.842746654744582	0.09178719435056192
330	0.3118131868131868	0.5765696670531635
336	0.7594308224814832	0.3835067039973348
3365	0.3118131868131868	0.5765696670531635
33pm	0.3118131868131868	0.5765696670531635
33yo	0.6236263736263736	0.429702886455403
34	1.0088599133838032	0.3151761234634441
340	0.3118131868131868	0.5765696670531635
3480	0.3118131868131868	0.5765696670531635
34yo	1.559065934065934	0.21180203789577648
34yr	0.3118131868131868	0.5765696670531635
35	17.469654099668013	2.9193045293569635e-05
350	0.9354395604395604	0.3334534362617816
3500	3.20704845814978	0.07332163858419319
354	0.3118131868131868	0.5765696670531635
357	0.3118131868131868	0.5765696670531635
3575	0.3118131868131868	0.5765696670531635
3588	0.3118131868131868	0.5765696670531635
35k	0.3118131868131868	0.5765696670531635
36	0.2956087245523028	0.5866485435061406
360	0.9354395604395604	0.3334534362617816
3600	3.20704845814978	0.07332163858419319
36yo	0.7594308224814832	0.3835067039973348
37	2.2047256550875183	0.13758836967689778
372	0.3118131868131868	0.5765696670531635
37f	0.3118131868131868	0.5765696670531635
37yo	0.7594308224814832	0.3835067039973348
38	2.6377185143704973	0.10435330491699345
3800	0.003341784867115266	0.9539014279451237
38f	0.3118131868131868	0.5765696670531635
38yo	0.9354395604395604	0.3334534362617816
39	5.645763288864043	0.017497597617115206
390	0.3118131868131868	0.5765696670531635
3945	3.20704845814978	0.07332163858419319
39f	0.3118131868131868	0.5765696670531635
39yo	0.15143373513417566	0.6971689777482954
39yr	0.3118131868131868	0.5765696670531635
3cfn	0.3118131868131868	0.5765696670531635
3cm	0.3118131868131868	0.5765696670531635
3d	0.3118131868131868	0.5765696670531635
3hr	0.3118131868131868	0.5765696670531635
3hrs	3.20704845814978	0.07332163858419319
3k	0.3118131868131868	0.5765696670531635
3m	3.20704845814978	0.07332163858419319
3mo	1.2472527472527473	0.2640778370524753
3mos	0.3118131868131868	0.5765696670531635
3pm	2.121254800632554	0.14526748458486105
3rd	1.3355380997393516	0.24782236867408258
3ste	0.6236263736263736	0.429702886455403
3w	0.3118131868131868	0.5765696670531635
3x	0.07449818903563407	0.7848965983342419
3yo	0.9354395604395604	0.3334534362617816
40	0.006563684899115966	0.9354287734714475
400	4.222477333868147	0.039891877406058804
4000	0.3028674702683513	0.5820903338500185
400mg	0.3118131868131868	0.5765696670531635
401k	0.9354395604395604	0.3334534362617816
402	0.3118131868131868	0.5765696670531635
406	0.3118131868131868	0.5765696670531635
407	0.3118131868131868	0.5765696670531635
408	0.3118131868131868	0.5765696670531635
40am	0.6236263736263736	0.429702886455403
40f	0.3118131868131868	0.5765696670531635
